RSSI,Noise,PRR
-110,-101,9
-109,-104,33
-108,-106,54
-109,-103,30
-110,-102,29
-109,-102,19
-109,-101,19
-107,-107,59
-109,-105,36
-110,-99,7
-108,-105,51
-109,-106,42
-110,-100,5
-111,-102,4
-109,-100,10
-110,-103,24
-111,-100,3
-108,-107,61
-111,-103,15
-111,-101,4
-107,-106,57
-108,-104,40
-110,-104,31
-107,-108,75
-111,-99,0
-106,-108,70
-110,-98,1
-111,-97,0
-107,-105,55
-111,-98,1
-109,-99,5
-109,-98,2
-106,-107,57
-110,-105,29
-109,-104,40
-109,-107,34
-108,-108,47
-106,-106,62
-95,-103,78
-111,-95,0
-105,-107,62
-108,-106,44
-92,-100,83
-109,-103,31
-110,-99,3
-110,-97,0
-108,-103,34
-110,-101,15
-111,-104,18
-89,-98,78
-90,-99,88
-93,-101,84
-94,-102,76
-110,-96,0
-111,-96,0
-110,-102,23
-110,-103,38
-109,-102,33
-109,-101,26
-91,-99,89
-108,-105,44
-110,-100,6
-91,-100,90
-109,-105,37
-105,-106,58
-106,-105,57
-107,-107,64
-108,-107,48
-108,-102,22
-111,-100,1
-107,-104,41
-111,-101,3
-107,-106,56
-110,-106,31
-109,-106,45
-108,-104,49
-107,-109,63
-109,-97,0
-109,-100,7
-96,-104,80
-111,-99,0
-109,-104,41
-108,-109,49
-88,-97,87
-109,-96,0
-109,-103,36
-104,-107,67
-109,-108,42
-110,-104,38
-104,-106,70
-109,-102,47
-90,-98,83
-92,-100,84
-108,-101,25
-108,-100,22
-108,-99,11
-107,-105,54
-108,-98,5
-105,-108,72
-97,-104,83
-109,-99,6
-108,-103,39
-96,-103,78
-95,-102,83
-94,-101,80
-109,-101,13
-110,-101,4
-93,-100,87
-103,-106,71
-106,-106,51
-107,-103,42
-108,-102,43
-110,-98,1
-106,-104,49
-108,-106,54
-110,-102,26
-109,-98,2
-109,-100,12
-102,-107,75
-105,-105,55
-110,-100,3
-108,-105,48
-107,-108,62
-106,-108,75
-93,-101,87
-98,-105,83
-111,-103,8
-104,-108,76
-103,-107,81
-106,-107,61
-111,-102,4
-106,-109,69
-107,-107,49
-109,-105,50
-110,-99,4
-110,-107,24
-111,-106,25
-94,-102,83
-89,-97,85
-111,-105,21
-110,-103,33
-91,-99,80
-111,-98,0
-109,-107,36
-104,-105,61
-95,-103,85
-99,-105,76
-108,-108,48
-108,-107,56
-107,-102,38
-107,-106,46
-111,-101,4
-109,-103,45
-108,-104,47
-108,-97,1
-107,-104,42
-109,-102,27
-109,-104,33
-101,-106,76
-105,-104,56
-105,-107,69
-109,-101,22
-111,-100,0
-103,-108,83
-106,-105,55
-100,-105,81
-102,-106,78
-105,-106,58
-103,-105,71
-109,-99,7
-110,-101,11
-111,-104,22
-89,-98,81
-101,-105,79
-110,-100,6
-90,-99,85
-109,-106,38
-108,-106,54
-111,-97,0
-110,-102,14
-110,-105,28
-92,-101,86
-106,-106,68
-98,-104,77
-100,-106,84
-109,-94,0
-108,-105,44
-104,-104,70
-101,-107,79
-110,-104,25
-111,-99,2
-107,-105,44
-109,-100,13
-107,-108,57
-92,-99,89
-111,-102,5
-112,-102,10
-110,-103,31
-111,-103,19
-109,-109,50
-107,-107,68
-107,-109,63
-99,-106,91
-109,-105,31
-110,-97,0
-111,-100,1
-110,-95,0
-108,-107,56
-109,-103,34
-92,-100,88
-93,-101,82
-109,-108,45
-110,-99,3
-106,-107,63
-108,-103,38
-106,-108,61
-110,-98,0
-108,-101,26
-94,-102,82
-110,-101,15
-111,-101,3
-110,-108,30
-109,-101,20
-111,-98,0
-108,-108,64
-109,-102,24
-107,-106,52
-88,-96,88
-109,-97,1
-111,-94,0
-105,-108,69
-109,-104,39
-108,-99,8
-108,-100,14
-108,-104,33
-107,-101,23
-109,-98,3
-104,-107,65
-91,-100,83
-106,-103,46
-110,-100,6
-105,-105,62
-110,-102,25
-110,-106,31
-104,-106,70
-108,-102,29
-108,-106,43
-105,-107,67
-112,-101,2
-110,-103,30
-99,-104,83
-97,-105,75
-108,-110,46
-111,-96,0
-91,-99,88
-105,-109,72
-110,-105,34
-109,-107,44
-109,-106,45
-102,-105,73
-111,-102,6
-112,-104,11
-112,-103,9
-110,-104,34
-112,-105,14
-108,-109,49
-87,-96,81
-97,-104,85
-96,-103,86
-96,-104,84
-111,-104,19
-109,-99,3
-109,-103,38
-109,-95,0
-111,-101,6
-108,-107,53
-107,-108,63
-111,-100,5
-111,-99,1
-90,-98,86
-110,-101,15
-103,-107,75
-106,-104,58
-105,-106,58
-107,-107,58
-107,-105,56
-110,-99,4
-109,-105,45
-108,-105,42
-111,-95,0
-109,-100,13
-107,-104,45
-110,-100,3
-109,-104,29
-106,-106,51
-102,-108,80
-109,-102,24
-107,-106,60
-111,-103,18
-109,-101,24
-106,-105,59
-109,-96,2
-87,-95,83
-110,-102,15
-103,-106,83
-108,-98,6
-107,-99,23
-107,-100,24
-108,-101,29
-109,-98,1
-105,-103,48
-88,-97,83
-108,-96,1
-108,-100,13
-108,-104,35
-92,-100,85
-106,-107,61
-103,-104,62
-107,-103,34
-95,-102,84
-108,-103,39
-109,-97,5
-108,-102,29
-108,-97,1
-108,-99,9
-104,-105,59
-95,-103,88
-107,-98,11
-108,-106,37
-108,-95,0
-107,-102,36
-109,-99,12
-110,-96,0
-107,-105,53
-93,-101,82
-100,-104,73
-110,-98,2
-108,-98,0
-109,-93,0
-108,-101,21
-91,-98,82
