PRR,Location
0,1
87,3
11,1
49,1
92,3
87,3
22,1
92,3
92,3
15,1
11,1
88,3
4,1
43,4
51,4
95,3
11,1
18,5
89,3
2,1
38,1
88,3
13,1
89,3
26,6
7,1
36,1
92,3
46,1
90,3
17,2
36,1
76,3
76,3
16,1
88,3
29,1
87,3
10,1
93,3
41,1
27,1
88,3
32,4
92,3
46,1
31,1
35,4
91,3
14,1
91,3
19,6
18,1
92,3
9,3
89,3
45,1
37,1
90,3
36,6
71,4
36,4
0,6
27,1
94,3
6,3
52,4
11,5
10,1
92,3
15,1
24,5
51,1
43,1
39,1
88,3
22,1
11,1
31,1
35,4
93,3
93,3
18,2
20,1
94,3
11,1
25,3
90,3
32,4
10,1
24,1
24,1
83,3
13,1
94,3
18,1
92,3
18,6
92,3
6,1
37,1
87,3
31,6
38,1
16,6
15,1
44,4
44,4
17,2
90,3
14,2
30,1
57,4
90,3
18,2
18,5
12,1
88,3
14,3
24,1
27,1
11,1
93,3
44,1
16,1
89,3
22,3
29,1
91,3
28,1
85,3
22,1
35,4
13,1
3,6
1,2
38,6
85,3
9,1
75,4
50,3
38,1
1,1
45,1
88,3
30,6
17,1
12,3
43,4
53,1
90,3
41,4
33,1
47,3
45,1
49,1
84,3
12,5
18,3
16,2
31,1
91,3
9,5
25,6
16,1
89,3
89,3
90,3
7,6
73,4
19,1
93,3
16,2
35,1
10,3
42,4
8,1
56,4
33,4
3,1
89,3
12,2
8,3
34,1
87,3
16,1
92,3
37,1
13,3
92,3
83,4
22,3
91,3
13,1
47,1
82,3
23,1
26,6
8,3
21,1
89,3
41,3
6,5
29,1
70,4
91,3
56,5
11,1
43,4
31,4
91,3
7,1
59,4
59,1
4,1
90,3
29,6
0,6
11,1
11,3
88,3
2,1
93,3
3,1
15,1
68,4
84,4
51,4
23,5
15,1
2,6
28,1
27,1
90,3
37,4
8,1
88,3
22,1
43,1
26,1
38,1
18,3
26,6
53,1
86,3
90,3
26,1
69,4
8,2
25,1
12,3
89,3
86,4
12,1
31,1
22,1
87,3
85,3
11,2
9,4
34,4
91,3
45,4
9,6
30,1
79,4
88,3
36,1
39,1
8,1
30,3
34,4
29,6
87,3
46,1
39,1
66,4
9,5
18,2
27,6
86,3
22,1
31,1
54,1
91,3
52,1
77,4
12,2
4,2
92,3
50,1
41,1
36,1
7,6
28,3
63,4
19,1
94,3
47,1
88,3
83,7
69,4
8,2
88,3
71,4
36,1
50,4
85,3
41,4
90,3
0,6
9,3
89,3
1,6
6,3
26,1
85,4
43,1
10,5
25,2
76,4
53,4
63,5
45,1
28,1
40,4
77,4
89,3
92,3
35,1
31,1
33,3
15,5
39,3
81,4
87,3
14,6
10,2
42,1
89,3
85,3
55,3
21,3
64,5
13,1
5,3
45,1
73,4
25,1
90,3
36,3
33,4
60,5
9,1
92,3
78,4
84,4
25,6
27,3
12,1
23,3
34,2
44,1
61,1
43,3
41,4
35,2
43,1
45,1
48,3
49,3
77,4
85,3
90,3
93,3
41,2
23,3
13,3
49,3
88,3
49,5
22,1
8,5
89,3
13,1
92,3
5,6
40,3
92,3
17,3
2,1
24,4
28,1
62,4
49,1
85,3
72,2
2,1
90,3
35,4
48,3
0,6
16,1
85,4
90,3
41,1
86,3
24,6
26,2
